fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,unused3,unused4,unused5,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused6,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused7,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused8,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,hsa,hsaPopulation,actuals.hsaHospitalBeds.capacity,actuals.hsaHospitalBeds.currentUsageTotal,actuals.hsaHospitalBeds.currentUsageCovid,actuals.hsaIcuBeds.capacity,actuals.hsaIcuBeds.currentUsageTotal,actuals.hsaIcuBeds.currentUsageCovid,metrics.bedsWithCovidPatientsRatio,hsaName,actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hsaHospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.cdcCommunityLevel,communityLevels.canCommunityLevel,actuals.vaccinationsFall2022BivalentBooster,metrics.vaccinationsFall2022BivalentBoosterRatio
42,US,PA,,state,,iso1:us#iso2:us-pa,,12801989,,other,,,,,,,,,,0.73,4,4,4,4,4,,1,3559331,51047,3239367,27789682,1508,27085,19920,870,,2899,2102,53,,1977,42895735,11666613,9444480,2023-10-17,https://covidactnow.org/us/pennsylvania-pa,0.911,0.738,5,27586432,4,4493396,0.351,,,,,,,,,,0.032,,747,,5.8,,0,2404885,0.188
72,US,PR,,state,,iso1:us#iso2:us-pr,,3193694,0.102,other,,,,,,,,,,0.72,4,2,4,4,4,,1,1122076,5908,471003,3097264,10,8170,5714,70,,637,457,6,,3476,8842720,2905470,2688410,2023-10-17,https://covidactnow.org/us/puerto_rico-pr,0.91,0.842,11,7846764,3,1808780,0.566,,,249108132,,,,,,,0.009,,72,,2.3,,0,336483,0.105
44,US,RI,,state,,iso1:us#iso2:us-ri,,1059361,0.084,other,,,,,,,,,,0.82,4,1,4,4,4,,2,441466,3915,444666,7100616,200,2023,1711,3,,147,120,3,,185,3531485,1126779,932541,2023-10-17,https://covidactnow.org/us/rhode_island-ri,0.95,0.88,0,2672092,2,545736,0.515,,,,,,,,,,0.001,,90,,8.5,,0,273693,0.258
45,US,SC,,state,,iso1:us#iso2:us-sc,,5148714,1.0,other,,,,,,,,,,0.65,4,3,4,4,4,,0,1852019,19923,1813405,12860706,775,9912,7387,364,,1254,810,25,,1357,14205395,3666079,3091956,2023-10-17,https://covidactnow.org/us/south_carolina-sc,0.712,0.601,22,8666603,3,1389701,0.27,,,,,,,,,,0.037,,259,,5.0,,0,602389,0.117
46,US,SD,,state,,iso1:us#iso2:us-sd,,884659,0.296,other,,,,,,,,,,0.54,4,3,4,4,4,,0,282895,3231,212736,1145822,350,2159,1366,8,,231,124,10,,217,2713025,746118,588257,2023-10-17,https://covidactnow.org/us/south_dakota-sd,0.843,0.665,2,1688981,3,276231,0.312,,,,,,,,,,0.004,,59,,6.7,,0,155946,0.176
47,US,TN,,state,,iso1:us#iso2:us-tn,,6829174,0.115,other,,,,,,,,,,0.65,4,2,4,4,4,,0,2542163,29549,1708380,10817506,1226,20465,14166,265,,2415,1575,41,,1919,17172490,4413541,3852924,2023-10-17,https://covidactnow.org/us/tennessee-tn,0.646,0.564,17,11323319,3,1858161,0.272,,,,,,,,,,0.013,,249,,3.6,,0,721826,0.106
48,US,TX,,state,,iso1:us#iso2:us-tx,,28995881,,other,,,,,,,,,,0.84,4,4,4,4,4,,2,8508204,93780,8133106,48879614,3722,58434,44935,246,,6127,5131,151,,5620,80813315,22322586,18406327,2023-10-17,https://covidactnow.org/us/texas-tx,0.77,0.635,42,52510128,4,7493737,0.258,,,,,,,,,,0.004,,1240,,4.3,,0,3288778,0.113
49,US,UT,,state,,iso1:us#iso2:us-ut,,3205958,0.206,other,,,,,,,,,,0.62,4,3,4,4,4,,0,1097475,5362,1142194,6988066,1200,5874,3650,67,,526,325,12,,514,8421900,2421459,2146291,2023-10-17,https://covidactnow.org/us/utah-ut,0.755,0.669,10,6158852,3,1077025,0.336,,,,,,,,,,0.011,,143,,4.5,,0,463338,0.145
51,US,VA,,state,,iso1:us#iso2:us-va,,8535519,0.809,other,,,,,,,,,,0.66,4,3,4,4,4,,0,2310846,23743,2443331,15364045,1547,16830,11404,303,,1868,1230,48,,1745,26823665,7794449,6556391,2023-10-17,https://covidactnow.org/us/virginia-va,0.913,0.768,7,19608172,3,3509933,0.411,,,,,,,,,,0.018,,423,,5.0,,0,1791781,0.21
50,US,VT,,state,,iso1:us#iso2:us-vt,,623989,0.167,other,,,,,,,,,,0.67,4,2,4,4,4,,0,154243,967,193898,4040328,53,1176,853,13,,98,66,2,,93,2588940,623937,537193,2023-10-17,https://covidactnow.org/us/vermont-vt,0.95,0.861,4,1762563,3,359077,0.575,,,,,,,,,,0.011,,35,,5.6,,0,213211,0.342
53,US,WA,,state,,iso1:us#iso2:us-wa,,7614893,0.917,other,,,,,,,,,,0.81,4,3,4,4,4,,2,1957759,16186,1673513,17236188,2122,10982,9321,334,,1022,825,45,,1569,25606455,6517326,5814062,2023-10-17,https://covidactnow.org/us/washington-wa,0.856,0.764,35,17723480,3,3414996,0.448,,,,,,,,,,0.03,,359,,4.7,,0,1977241,0.26
55,US,WI,,state,,iso1:us#iso2:us-wi,,5822434,0.092,other,,,,,,,,,,0.66,4,1,4,4,4,,0,2030717,16600,1946358,17734704,600,11671,7927,29,,1196,794,21,,1524,16474175,4386970,3981606,2023-10-17,https://covidactnow.org/us/wisconsin-wi,0.753,0.684,10,12444016,2,2432044,0.418,,,,,,,,,,0.002,,380,,6.5,,0,1330586,0.229
54,US,WV,,state,,iso1:us#iso2:us-wv,,1792147,0.104,other,,,,,,,,,,0.79,4,2,4,4,4,,1,650556,8125,633408,5504613,248,5121,3996,18,,597,473,23,,194,5515855,1212338,1071540,2023-10-17,https://covidactnow.org/us/west_virginia-wv,0.676,0.598,8,3098571,3,531751,0.297,,,,,,,,,,0.003,,179,,10.0,,1,210085,0.117
56,US,WY,,state,,iso1:us#iso2:us-wy,,578759,0.327,other,,,,,,,,,,0.4,4,3,4,4,4,,0,187034,2031,140491,1446761,50,1274,549,5,,98,39,2,,366,1281755,353727,307619,2023-10-17,https://covidactnow.org/us/wyoming-wy,0.611,0.532,0,854132,3,145600,0.252,,,,,,,,,,0.004,,41,,7.1,,0,65920,0.114
